11.55002594  0.00000000
11.65007687  0.00000000
11.75012779  0.00000000
11.85017967  0.00000000
11.95023060  0.00000000
12.05028152  0.00000000
12.15033340  0.00000000
12.25038433  0.00000000
12.35043526  0.00000000
12.45048618  0.00000000
12.55053711  0.00000000
12.65058899  0.00000000
12.75063992  0.00000000
12.85069084  0.00000000
12.95074272  0.00000000
13.05079365  0.00000000
13.15084457  0.00000000
13.25089550  0.00000000
13.35094643  0.00000000
13.45099831  0.00000000
13.55104923  -0.00005161
13.65110016  0.00044938
13.75115204  0.01433642
13.85120392  0.07676156
13.95125389  0.26223870
14.05130577  0.46322085
14.15135574  0.61006990
14.25140858  0.59002576
14.35145855  0.53637483
14.45151138  0.46599354
14.55156231  0.28470757
14.65161324  -0.04598392
14.75166416  -0.52998134
14.85171509  -0.63897636
14.95176697  0.30015765
15.05181789  2.42605620
15.15186882  3.85187545
15.25192070  4.23069415
15.35197163  3.57884594
15.45202255  2.80010899
15.55207348  1.85313119
15.65212440  0.73664850
15.75217628  -0.09715880
15.85222721  -0.57278510
15.95227814  -0.51597084
16.05233002  -0.58129223
16.15237999  -0.21032094
16.25243187  -0.08556561
16.35248375  -0.15282110
16.45253372  -0.07987205
16.55258560  -0.06907002
16.65263748  -0.13266338
16.75268936  -0.13512860
16.85273933  -0.12691345
16.95279121  -0.14475451
17.05284119  0.34706275
17.15289307  0.51986422
17.25294495  1.04275273
17.35299683  0.84308526
17.45304680  1.04760380
17.55309868  0.98380990
17.65314865  1.11390731
17.75320053  1.08303054
17.85325241  1.33545712
17.95330238  1.28140367
18.05335426  1.18597167
18.15340424  0.82421883
18.25345612  0.57453396
18.35350800  0.36612935
18.45355797  0.29804552
18.55360985  0.31495475
18.65366173  0.29163446
18.75371170  0.47284534
18.85376358  0.45849771
18.95381546  0.58761500
19.05386734  0.78903855
19.15391731  0.80470999
19.25396919  1.07034184
19.35401917  1.16061149
19.45407104  1.21140409
19.55412102  1.10859516
19.65417480  1.03525604
19.75422287  0.71293633
19.85427666  0.61344063
19.95432663  0.53761851
20.05437851  0.41566791
20.15442848  0.44196287
20.25448036  0.44258856
20.35453415  0.28257302
20.45458221  0.28358469
20.55463409  0.31213102
20.65468597  0.30413781
20.75473785  0.29064844
20.85478783  0.30065303
20.95483780  0.31188247
21.05488968  0.38188633
21.15494156  0.41419858
21.25499344  0.43207111
21.35504532  0.54654213
21.45509529  0.47581754
21.55514717  0.57607380
21.65519714  0.45599210
21.75524712  0.57910227
21.85530090  0.47262322
21.95535278  0.51868641
22.05540085  0.37145936
22.15545273  0.52244929
22.25550652  0.37424963
22.35555649  0.39643774
22.45560646  0.32944258
22.55565643  0.32444713
22.65571213  0.37249859
22.75576019  0.26290260
22.85581207  0.28767549
22.95586014  0.27192278
23.05591583  0.38763112
23.15596581  0.35106022
23.25601578  0.43553327
23.35607147  0.37072931
23.45611954  0.34133830
23.55617142  0.37515324
23.65621948  0.40592793
23.75627518  0.32453343
23.85632515  0.37775143
23.95637512  0.46769345
24.05642509  0.49739621
24.15647888  0.55566316
24.25653076  0.66559829
24.35657883  0.59848422
24.45663071  0.67412670
24.55668449  0.76708759
24.65673447  0.60243559
24.75678444  0.66870972
24.85683441  0.68065610
24.95689011  0.76927223
25.05693817  0.81098866
25.15699005  0.92101161
25.25703812  0.84197473
25.35709381  0.82355807
25.45714378  0.94625194
25.55719376  0.80878263
25.65724945  0.74484435
25.75729752  0.95588983
25.85734940  0.63462637
25.95739746  0.86640802
26.05745316  0.87196795
26.15750313  0.72212513
26.25755310  0.74937484
26.35760307  0.77785796
26.45765686  0.85193398
